순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,김주원,NC,유격수,83,614.0,1.878,20.34
2,박민우,NC,2루수,66,540.0,1.177,12.75
3,김형준,NC,포수,75,605.0,0.707,7.66
4,김휘집,NC,3루수,22,148.0,0.529,5.73
5,손아섭,NC,우익수,20,130.2,0.488,5.28
6,최정원,NC,중견수,18,60.1,0.288,3.12
7,김성욱,NC,중견수,68,497.0,0.244,2.64
8,권희동,NC,좌익수,80,575.2,0.2,2.16
9,도태훈,NC,1루수,34,104.0,0.147,1.59
10,권희동,NC,중견수,7,38.0,0.109,1.18
11,한석현,NC,좌익수,7,11.2,0.108,1.17
12,오영수,NC,1루수,10,49.2,0.102,1.1
13,박시원,NC,중견수,20,143.0,0.097,1.06
14,박세혁,NC,포수,45,209.0,0.096,1.04
15,도태훈,NC,2루수,19,89.0,0.055,0.6
16,김수윤,NC,1루수,3,12.0,0.053,0.57
17,도태훈,NC,3루수,13,45.2,0.031,0.33
18,김세훈,NC,2루수,2,8.0,0.027,0.29
19,김휘집,NC,유격수,20,137.2,0.025,0.27
20,박영빈,NC,좌익수,4,8.0,0.023,0.25
21,최정원,NC,좌익수,1,2.0,0.014,0.15
22,김한별,NC,2루수,6,9.0,-0.01,-0.11
23,박시원,NC,우익수,1,8.0,-0.033,-0.36
24,서호철,NC,2루수,16,75.1,-0.046,-0.49
25,김수윤,NC,3루수,1,2.0,-0.049,-0.53
26,김세훈,NC,유격수,5,8.1,-0.069,-0.75
27,손아섭,NC,좌익수,9,65.0,-0.078,-0.84
27,김성욱,NC,좌익수,13,29.1,-0.078,-0.85
29,서호철,NC,3루수,77,617.0,-0.092,-0.99
30,천재환,NC,좌익수,9,25.0,-0.098,-1.07
31,천재환,NC,중견수,10,46.2,-0.155,-1.68
32,한석현,NC,우익수,12,29.1,-0.174,-1.88
33,박건우,NC,중견수,3,15.0,-0.176,-1.91
34,한석현,NC,중견수,3,14.0,-0.188,-2.04
35,김한별,NC,유격수,11,53.0,-0.209,-2.26
36,권희동,NC,우익수,6,35.1,-0.239,-2.59
37,김성욱,NC,우익수,17,49.2,-0.241,-2.61
38,최정원,NC,2루수,16,92.2,-0.298,-3.22
39,박한결,NC,좌익수,17,97.1,-0.346,-3.75
40,천재환,NC,우익수,18,54.0,-0.37,-4.01
41,박건우,NC,우익수,65,507.0,-0.567,-6.14
42,데이비슨,NC,1루수,78,648.1,-0.958,-10.38
50,김재열,NC,투수,49,49.0,nan,nan
50,송명기,NC,투수,22,27.1,nan,nan
50,김한별,NC,3루수,2,1.1,nan,nan
50,도태훈,NC,유격수,1,1.0,nan,nan
50,김영규,NC,투수,39,42.1,nan,nan
50,한재승,NC,투수,34,30.0,nan,nan
50,류진욱,NC,투수,21,17.0,nan,nan
