포지션,선수명
투수,임정호
투수,김영규
투수,카스타노
투수,김시훈
투수,이용찬
투수,최성영
투수,이준호
투수,하트
투수,김재열
투수,류진욱
투수,이재학
투수,신민혁
투수,배재환
포수,박세혁
포수,김형준
내야수,도태훈
내야수,박민우
내야수,데이비슨
내야수,김휘집
내야수,서호철
내야수,김주원
내야수,김세훈
외야수,천재환
외야수,권희동
외야수,박건우
외야수,김성욱
외야수,박시원
외야수,박한결
