순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,김혜성,kiwoom,2루수,77,656.2,1.057,11.4
2,송성문,kiwoom,3루수,63,477.2,0.946,10.21
3,김태진,kiwoom,유격수,24,153.1,0.836,9.02
4,김재현,kiwoom,포수,77,542.1,0.531,5.73
5,송성문,kiwoom,2루수,13,103.2,0.353,3.8
6,김휘집,kiwoom,유격수,44,338.1,0.342,3.69
7,변상권,kiwoom,우익수,9,51.2,0.28,3.02
8,김건희,kiwoom,포수,37,215.1,0.2,2.16
9,변상권,kiwoom,좌익수,14,93.0,0.154,1.66
10,김태진,kiwoom,좌익수,8,35.0,0.153,1.65
11,도슨,kiwoom,좌익수,58,454.2,0.118,1.27
12,이주형,kiwoom,우익수,39,297.1,0.111,1.2
13,이용규,kiwoom,우익수,13,94.0,0.107,1.15
14,고영우,kiwoom,2루수,9,43.0,0.083,0.9
15,김주형,kiwoom,유격수,16,56.2,0.071,0.76
16,원성준,kiwoom,좌익수,3,13.0,0.063,0.68
17,김시앙,kiwoom,포수,6,19.1,0.06,0.65
18,주성원,kiwoom,좌익수,2,16.0,0.054,0.59
19,김태진,kiwoom,2루수,6,19.0,0.043,0.46
20,임병욱,kiwoom,우익수,4,11.0,0.041,0.45
21,김휘집,kiwoom,3루수,9,53.0,0.04,0.43
22,박주홍,kiwoom,우익수,2,6.0,0.039,0.42
23,박성빈,kiwoom,포수,6,27.0,0.034,0.36
24,주성원,kiwoom,우익수,14,76.0,0.025,0.26
25,이용규,kiwoom,좌익수,18,141.2,0.009,0.1
25,김주형,kiwoom,2루수,2,3.0,0.009,0.09
27,송지후,kiwoom,2루수,1,3.0,-0.005,-0.05
28,이승원,kiwoom,유격수,2,9.0,-0.019,-0.2
29,김태진,kiwoom,우익수,2,6.0,-0.031,-0.33
30,예진원,kiwoom,좌익수,6,19.0,-0.046,-0.49
31,임병욱,kiwoom,중견수,16,83.0,-0.05,-0.54
32,임병욱,kiwoom,좌익수,1,9.0,-0.059,-0.64
32,이주형,kiwoom,중견수,12,67.2,-0.059,-0.64
34,박수종,kiwoom,좌익수,4,4.0,-0.093,-1.01
35,이형종,kiwoom,우익수,26,193.2,-0.117,-1.26
36,이용규,kiwoom,중견수,19,115.0,-0.127,-1.37
37,박준형,kiwoom,포수,4,12.1,-0.128,-1.38
38,박수종,kiwoom,우익수,7,12.0,-0.13,-1.4
38,고영우,kiwoom,유격수,14,67.0,-0.13,-1.4
40,도슨,kiwoom,중견수,25,185.2,-0.14,-1.51
41,김동헌,kiwoom,포수,2,14.0,-0.147,-1.59
42,임지열,kiwoom,좌익수,8,39.0,-0.152,-1.64
43,이주형,kiwoom,좌익수,1,4.0,-0.164,-1.77
44,박수종,kiwoom,중견수,34,164.2,-0.171,-1.85
45,예진원,kiwoom,중견수,11,23.0,-0.209,-2.26
46,예진원,kiwoom,우익수,5,16.2,-0.214,-2.31
47,장재영,kiwoom,중견수,17,126.1,-0.242,-2.61
48,임지열,kiwoom,우익수,9,66.0,-0.277,-2.99
49,송성문,kiwoom,1루수,20,95.0,-0.281,-3.03
50,최주환,kiwoom,1루수,78,648.1,-0.292,-3.14
51,이원석,kiwoom,1루수,12,87.0,-0.3,-3.23
52,원성준,kiwoom,중견수,10,65.0,-0.332,-3.58
53,이재상,kiwoom,유격수,31,202.0,-0.627,-6.76
54,고영우,kiwoom,3루수,45,298.2,-0.64,-6.9
67,김선기,kiwoom,투수,21,48.0,nan,nan
67,김주형,kiwoom,3루수,1,1.0,nan,nan
67,김재웅,kiwoom,투수,26,23.2,nan,nan
67,김병휘,kiwoom,유격수,2,3.0,nan,nan
67,김연주,kiwoom,투수,14,12.1,nan,nan
67,문성현,kiwoom,투수,36,33.1,nan,nan
67,박주홍,kiwoom,좌익수,2,2.0,nan,nan
67,신준우,kiwoom,유격수,1,1.0,nan,nan
67,주승우,kiwoom,투수,34,30.2,nan,nan
67,양지율,kiwoom,투수,7,8.0,nan,nan
67,김윤하,kiwoom,투수,10,27.1,nan,nan
67,김병휘,kiwoom,2루수,2,2.0,nan,nan
