포지션,선수명
투수,문동주
투수,김기중
투수,바리아
투수,한승혁
투수,이민우
투수,황준서
투수,김서현
투수,와이스
투수,박상원
투수,김규연
투수,주현상
투수,조동욱
투수,류현진
포수,최재훈
포수,이재원
내야수,하주석
내야수,김태연
내야수,안치홍
내야수,김인환
내야수,문현빈
내야수,이도윤
내야수,노시환
내야수,황영묵
외야수,채은성
외야수,페라자
외야수,이원석
외야수,장진혁
외야수,이상혁
