포지션,선수명
투수,김유영
투수,임찬규
투수,정우영
투수,백승현
투수,최원태
투수,손주영
투수,켈리
투수,엔스
투수,김영준
투수,김진성
투수,진우영
투수,정지헌
투수,유영찬
투수,임준형
포수,박동원
포수,김성우
포수,김범석
내야수,오지환
내야수,문보경
내야수,오스틴
내야수,신민재
내야수,구본혁
외야수,안익훈
외야수,박해민
외야수,김현수
외야수,홍창기
외야수,최승민
외야수,문성주
