순위,선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
1,최원영,LG,0.4,5,2,1,0,0,1,0,0,0,0,1번
2,홍창기,LG,0.312,292,91,5,3,2,40,55,6,51,6,1번
3,박해민,LG,0.28,82,23,0,1,0,10,6,1,16,1,1번
4,구본혁,LG,0.0,2,0,0,0,0,0,0,0,0,0,1번
4,김성진,LG,0.0,1,0,0,0,0,0,0,0,0,0,1번
4,김현종,LG,0.0,1,0,0,0,0,0,0,0,0,0,1번
4,문성주,LG,0.0,1,0,0,0,0,1,3,0,0,0,1번
4,송찬의,LG,0.0,1,0,0,0,0,0,0,0,0,0,1번
4,안익훈,LG,0.0,1,0,0,0,0,0,0,0,1,0,1번
1,김범석,LG,1.0,1,1,1,0,0,2,1,0,0,0,2번
1,김성진,LG,1.0,1,1,0,0,0,0,0,0,0,0,2번
3,김현수,LG,0.333,24,8,0,0,1,4,1,0,3,0,2번
4,홍창기,LG,0.326,46,15,1,0,2,8,8,3,9,1,2번
5,문성주,LG,0.313,166,52,8,2,0,29,33,1,20,3,2번
6,신민재,LG,0.304,23,7,1,0,0,0,3,0,4,0,2번
7,박해민,LG,0.275,91,25,2,2,1,11,10,1,17,1,2번
8,안익훈,LG,0.267,15,4,1,0,0,1,2,0,3,1,2번
9,최승민,LG,0.25,4,1,0,0,0,0,0,0,1,0,2번
10,오지환,LG,0.154,13,2,0,0,0,1,0,0,5,1,2번
11,구본혁,LG,0.0,2,0,0,0,0,1,0,0,0,0,2번
11,김대원,LG,0.0,1,0,0,0,0,0,0,0,1,0,2번
11,김현종,LG,0.0,3,0,0,0,0,0,0,1,1,0,2번
1,김현종,LG,1.0,1,1,0,0,0,0,0,0,0,0,3번
1,안익훈,LG,1.0,2,2,0,0,0,0,0,0,0,0,3번
1,홍창기,LG,1.0,1,1,0,0,0,1,0,0,0,0,3번
4,문성주,LG,0.5,8,4,1,0,0,0,1,0,0,0,3번
4,최원영,LG,0.5,2,1,0,0,0,0,0,0,0,0,3번
6,오스틴,LG,0.406,32,13,1,0,3,8,4,0,3,2,3번
7,김범석,LG,0.346,26,9,1,0,0,3,0,0,9,1,3번
8,박해민,LG,0.333,6,2,0,0,0,2,0,0,1,0,3번
9,문보경,LG,0.294,17,5,2,0,0,2,2,0,3,1,3번
10,김현수,LG,0.294,303,89,15,2,6,43,30,2,43,7,3번
11,김성진,LG,0.0,1,0,0,0,0,0,0,0,1,0,3번
11,김주성,LG,0.0,1,0,0,0,0,0,0,0,0,0,3번
11,박동원,LG,0.0,4,0,0,0,0,0,0,0,3,0,3번
11,백승현,LG,0.0,1,0,0,0,0,0,0,0,0,0,3번
11,송찬의,LG,0.0,2,0,0,0,0,0,0,0,2,0,3번
11,최승민,LG,0.0,1,0,0,0,0,0,0,0,0,0,3번
11,허도환,LG,0.0,1,0,0,0,0,0,0,0,1,0,3번
1,오지환,LG,1.0,1,1,0,0,0,0,0,0,0,0,4번
1,허도환,LG,1.0,1,1,0,0,0,0,0,1,0,0,4번
3,문성주,LG,0.75,4,3,1,0,0,1,0,0,0,0,4번
4,구본혁,LG,0.667,3,2,0,0,1,4,0,0,0,0,4번
5,김범석,LG,0.333,3,1,0,0,0,0,0,0,2,0,4번
6,오스틴,LG,0.296,321,95,20,2,18,72,38,3,60,3,4번
7,김현수,LG,0.25,4,1,0,0,0,0,0,0,0,1,4번
8,문보경,LG,0.244,41,10,1,1,3,10,7,1,8,1,4번
9,김주성,LG,0.0,1,0,0,0,0,0,0,0,0,0,4번
9,김태우,LG,0.0,1,0,0,0,0,0,0,0,1,0,4번
9,송찬의,LG,0.0,1,0,0,0,0,0,0,0,0,0,4번
9,신민재,LG,0.0,1,0,0,0,0,0,0,0,0,0,4번
9,최원영,LG,0.0,1,0,0,0,0,0,0,0,1,0,4번
1,박해민,LG,1.000,1,1,0,0,0,0,0,0,0,0,5번
2,김현종,LG,0.500,2,1,0,0,0,0,0,0,1,0,5번
3,문성주,LG,0.429,7,3,0,0,0,2,2,0,1,0,5번
4,김현수,LG,0.417,12,5,3,0,0,3,1,1,2,0,5번
5,최원영,LG,0.333,3,1,0,0,0,1,0,1,0,0,5번
6,문보경,LG,0.323,158,51,9,0,7,26,19,0,34,5,5번
7,김범석,LG,0.286,35,10,2,0,2,7,1,1,12,0,5번
8,박동원,LG,0.260,96,25,5,0,6,20,18,0,28,4,5번
9,오지환,LG,0.250,44,11,2,0,0,3,3,0,13,0,5번
10,구본혁,LG,0.167,6,1,0,0,0,1,0,0,1,0,5번
11,신민재,LG,0.000,1,0,0,0,0,0,0,0,0,0,5번
11,안익훈,LG,0.000,2,0,0,0,0,0,0,0,0,0,5번
11,최승민,LG,0.000,1,0,0,0,0,0,0,0,0,0,5번
11,함창건,LG,-,0,0,0,0,0,0,1,0,0,0,5번
11,허도환,LG,0.000,7,0,0,0,0,2,0,0,3,1,5번
1,신민재,LG,0.6,5,3,1,0,0,0,1,0,1,0,6번
2,김현종,LG,0.5,2,1,1,0,0,2,0,0,1,0,6번
3,홍창기,LG,0.429,7,3,0,0,0,1,1,0,1,0,6번
4,박동원,LG,0.333,63,21,3,0,5,14,11,0,18,2,6번
4,최명경,LG,0.333,3,1,0,0,0,0,0,0,1,0,6번
6,구본혁,LG,0.286,21,6,0,0,0,1,5,0,3,2,6번
6,김현수,LG,0.286,7,2,1,0,0,0,1,0,2,0,6번
6,오지환,LG,0.286,77,22,7,0,1,13,13,1,27,2,6번
9,김범석,LG,0.262,42,11,0,0,3,10,8,0,10,0,6번
10,문보경,LG,0.248,101,25,6,1,3,17,13,0,23,2,6번
11,문성주,LG,0.222,9,2,1,0,0,1,2,0,3,0,6번
12,허도환,LG,0.2,5,1,1,0,0,0,0,1,2,1,6번
13,김민수,LG,0.0,2,0,0,0,0,0,0,0,1,0,6번
13,박해민,LG,0.0,3,0,0,0,0,1,1,1,2,0,6번
13,안익훈,LG,0.0,1,0,0,0,0,0,0,0,0,0,6번
13,함창건,LG,0.0,1,0,0,0,0,0,1,0,1,0,6번
1,문성주,LG,0.353,17,6,3,0,0,4,0,1,0,0,7번
2,구본혁,LG,0.271,118,32,6,0,1,12,10,0,19,2,7번
3,박동원,LG,0.25,76,19,3,0,2,10,14,0,20,2,7번
3,신민재,LG,0.25,8,2,0,0,0,3,2,0,2,0,7번
3,오지환,LG,0.25,56,14,6,1,1,7,12,1,17,1,7번
6,박해민,LG,0.243,37,9,3,0,0,5,1,0,11,0,7번
7,안익훈,LG,0.2,5,1,0,0,0,0,1,0,1,1,7번
8,김범석,LG,0.182,11,2,0,0,1,1,2,1,4,1,7번
9,문보경,LG,0.125,8,1,0,0,0,0,1,0,1,0,7번
10,김대원,LG,0.0,1,0,0,0,0,0,0,0,0,0,7번
10,김성우,LG,0.0,1,0,0,0,0,0,0,0,1,0,7번
10,김성진,LG,0.0,3,0,0,0,0,0,0,0,2,0,7번
10,김주성,LG,0.0,2,0,0,0,0,0,3,0,0,0,7번
10,김현종,LG,0.0,2,0,0,0,0,0,0,0,0,0,7번
10,오스틴,LG,0.0,3,0,0,0,0,0,0,0,0,0,7번
10,함창건,LG,0.0,2,0,0,0,0,0,0,0,0,1,7번
10,허도환,LG,0.0,1,0,0,0,0,0,0,0,1,0,7번
10,홍창기,LG,0.0,1,0,0,0,0,0,2,0,0,0,7번
1,문보경,LG,0.333,6,2,1,0,0,0,2,0,1,0,8번
1,신민재,LG,0.333,18,6,0,0,0,1,4,0,2,1,8번
3,구본혁,LG,0.27,63,17,4,0,0,14,8,0,8,1,8번
3,문성주,LG,0.27,63,17,2,0,0,8,8,0,10,1,8번
5,박해민,LG,0.237,93,22,3,2,1,9,11,3,19,0,8번
6,오지환,LG,0.231,13,3,2,0,1,2,1,1,5,0,8번
7,박동원,LG,0.214,28,6,2,0,1,7,3,0,5,1,8번
8,김민수,LG,0.167,6,1,0,0,0,0,0,0,2,1,8번
9,허도환,LG,0.154,26,4,0,0,0,3,5,3,11,0,8번
10,김범석,LG,0.0,5,0,0,0,0,0,0,0,2,1,8번
10,김성우,LG,0.0,3,0,0,0,0,0,0,0,2,0,8번
10,김현수,LG,0.0,2,0,0,0,0,0,0,0,1,0,8번
10,송찬의,LG,0.0,2,0,0,0,0,0,1,1,1,0,8번
10,안익훈,LG,0.0,5,0,0,0,0,1,0,0,1,0,8번
10,전준호,LG,0.0,1,0,0,0,0,0,0,0,1,0,8번
1,김대원,LG,1.000,1,1,0,0,0,0,0,0,0,0,9번
2,김주성,LG,0.500,2,1,0,0,0,0,0,0,0,0,9번
2,문성주,LG,0.500,2,1,0,0,0,0,0,0,0,0,9번
2,박동원,LG,0.500,10,5,1,0,0,4,0,0,2,0,9번
5,문보경,LG,0.333,3,1,0,0,0,0,1,0,1,0,9번
6,김범석,LG,0.286,7,2,0,0,0,0,0,0,2,0,9번
7,신민재,LG,0.275,218,60,7,2,0,26,34,2,28,5,9번
8,박해민,LG,0.263,19,5,0,0,1,2,0,1,4,0,9번
9,구본혁,LG,0.235,17,4,0,0,0,2,1,1,3,0,9번
10,허도환,LG,0.211,19,4,1,0,0,4,0,2,5,0,9번
11,함창건,LG,0.143,7,1,0,0,0,0,0,0,0,0,9번
12,안익훈,LG,0.100,10,1,0,0,0,1,1,0,5,0,9번
13,김민수,LG,-,0,0,0,0,0,0,1,0,0,0,9번
13,김성우,LG,0.000,1,0,0,0,0,0,0,0,1,0,9번
13,김성진,LG,0.000,1,0,0,0,0,0,1,0,0,0,9번
13,김태우,LG,0.000,2,0,0,0,0,0,0,0,1,0,9번
