순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,박동원,LG,포수,77,586.1,1.287,13.85
2,홍창기,LG,우익수,82,665.0,0.859,9.25
3,구본혁,LG,3루수,32,117.0,0.749,8.06
4,오지환,LG,유격수,59,461.0,0.494,5.31
5,박해민,LG,중견수,92,721.0,0.385,4.14
6,구본혁,LG,2루수,21,121.0,0.318,3.42
7,안익훈,LG,중견수,5,24.0,0.239,2.57
8,문성주,LG,좌익수,59,428.0,0.211,2.27
9,최승민,LG,좌익수,10,18.0,0.202,2.17
10,김주성,LG,3루수,5,14.0,0.164,1.77
11,최원영,LG,중견수,3,6.0,0.123,1.32
12,김민수,LG,3루수,2,5.0,0.098,1.06
13,김범석,LG,1루수,13,84.0,0.071,0.77
14,안익훈,LG,우익수,2,10.0,0.048,0.52
15,문성주,LG,중견수,1,2.0,0.035,0.38
16,문성주,LG,우익수,24,132.0,0.03,0.32
17,송찬의,LG,좌익수,1,9.0,0.025,0.27
18,김현종,LG,중견수,4,9.0,0.018,0.19
19,김현종,LG,우익수,1,3.0,0.011,0.12
20,안익훈,LG,좌익수,16,70.0,0.003,0.04
21,김현종,LG,좌익수,4,5.0,-0.001,-0.01
21,김민수,LG,1루수,1,2.0,-0.001,-0.02
23,김성진,LG,1루수,3,3.0,-0.003,-0.03
24,함창건,LG,좌익수,2,15.0,-0.008,-0.08
25,김태우,LG,2루수,2,4.0,-0.015,-0.16
26,김성우,LG,포수,1,8.0,-0.024,-0.26
27,김현수,LG,1루수,6,9.0,-0.026,-0.28
28,최원영,LG,좌익수,6,15.0,-0.036,-0.39
29,최명경,LG,3루수,1,6.0,-0.04,-0.43
30,문보경,LG,1루수,29,69.0,-0.043,-0.46
31,김주성,LG,유격수,5,14.0,-0.07,-0.75
32,최원영,LG,우익수,4,9.0,-0.072,-0.77
33,김민수,LG,유격수,3,11.0,-0.09,-0.96
34,손호영,LG,3루수,1,3.0,-0.114,-1.23
35,홍창기,LG,중견수,12,61.0,-0.124,-1.33
36,김범석,LG,포수,11,43.1,-0.129,-1.39
37,신민재,LG,2루수,89,697.0,-0.223,-2.4
38,허도환,LG,포수,40,180.1,-0.229,-2.46
39,구본혁,LG,유격수,47,337.0,-0.303,-3.26
40,김현수,LG,좌익수,39,263.0,-0.518,-5.57
41,오스틴,LG,1루수,80,656.0,-0.63,-6.77
42,문보경,LG,3루수,88,676.0,-0.744,-8.0
53,최승민,LG,우익수,1,2.0,nan,nan
53,김진성,LG,투수,46,43.1,nan,nan
53,김대현,LG,투수,32,32.0,nan,nan
53,전준호,LG,포수,3,5.0,nan,nan
53,이지강,LG,투수,19,25.1,nan,nan
53,최동환,LG,투수,23,20.0,nan,nan
53,함창건,LG,우익수,2,2.0,nan,nan
53,김태우,LG,3루수,1,2.0,nan,nan
53,유영찬,LG,투수,41,43.2,nan,nan
53,김대원,LG,2루수,1,1.0,nan,nan
