순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,유강남,lotte,포수,50,324.2,0.589,6.36
2,최항,lotte,2루수,38,207.1,0.448,4.84
3,신윤후,lotte,우익수,12,60.0,0.443,4.78
4,황성빈,lotte,좌익수,29,133.0,0.416,4.48
5,손성빈,lotte,포수,48,240.0,0.221,2.38
6,김동혁,lotte,중견수,19,42.0,0.202,2.18
7,고승민,lotte,2루수,53,414.1,0.182,1.96
8,노진혁,lotte,3루수,14,81.0,0.165,1.78
9,윤동희,lotte,중견수,50,395.0,0.163,1.76
10,박승욱,lotte,유격수,63,452.0,0.148,1.6
11,정대선,lotte,2루수,2,4.0,0.081,0.87
12,오선진,lotte,3루수,14,41.2,0.066,0.71
13,이주찬,lotte,유격수,3,5.0,0.062,0.67
14,김민석,lotte,좌익수,19,122.0,0.055,0.59
14,김민성,lotte,2루수,3,12.0,0.055,0.59
16,손호영,lotte,2루수,18,108.1,0.05,0.54
17,정보근,lotte,포수,48,221.1,0.048,0.52
18,장두성,lotte,우익수,9,14.2,0.039,0.42
19,황성빈,lotte,우익수,2,4.0,0.036,0.39
20,오선진,lotte,유격수,1,2.0,0.03,0.32
21,고승민,lotte,우익수,6,31.0,0.025,0.27
22,레이예스,lotte,중견수,1,2.0,0.021,0.22
23,박승욱,lotte,2루수,18,54.0,0.015,0.16
24,오선진,lotte,2루수,4,17.0,0.008,0.09
25,김민성,lotte,3루수,29,162.1,0.004,0.05
26,이학주,lotte,3루수,3,5.2,0.001,0.01
27,정훈,lotte,좌익수,1,2.0,-0.001,-0.01
28,고승민,lotte,좌익수,13,86.0,-0.002,-0.02
29,정훈,lotte,2루수,2,3.0,-0.009,-0.1
30,김동혁,lotte,우익수,4,7.2,-0.011,-0.12
31,장두성,lotte,중견수,7,19.0,-0.014,-0.15
31,이정훈,lotte,좌익수,1,2.0,-0.014,-0.15
33,이호준,lotte,2루수,1,2.0,-0.026,-0.28
34,최항,lotte,3루수,9,42.0,-0.028,-0.3
35,고승민,lotte,1루수,5,11.0,-0.052,-0.56
36,장두성,lotte,좌익수,5,15.0,-0.054,-0.58
37,최항,lotte,1루수,10,21.1,-0.057,-0.61
38,서동욱,lotte,포수,11,35.0,-0.061,-0.66
39,노진혁,lotte,유격수,17,83.2,-0.063,-0.68
40,정훈,lotte,3루수,13,70.1,-0.069,-0.74
41,김민석,lotte,중견수,3,23.1,-0.074,-0.79
42,노진혁,lotte,1루수,4,19.0,-0.172,-1.85
43,레이예스,lotte,우익수,46,371.2,-0.221,-2.38
44,손호영,lotte,유격수,6,39.0,-0.268,-2.89
45,레이예스,lotte,좌익수,34,262.2,-0.276,-2.98
46,한동희,lotte,3루수,6,32.1,-0.294,-3.17
47,박승욱,lotte,3루수,27,123.2,-0.339,-3.66
48,정훈,lotte,1루수,31,240.0,-0.345,-3.72
49,전준우,lotte,좌익수,24,196.1,-0.427,-4.61
50,윤동희,lotte,우익수,42,333.0,-0.463,-4.99
51,이학주,lotte,유격수,40,238.1,-0.508,-5.48
52,이주찬,lotte,3루수,10,46.1,-0.53,-5.71
53,손호영,lotte,3루수,30,216.2,-0.545,-5.88
54,황성빈,lotte,중견수,47,337.0,-0.582,-6.28
55,나승엽,lotte,1루수,65,530.2,-1.235,-13.32
63,강성우,lotte,유격수,1,1.0,nan,nan
63,신윤후,lotte,중견수,1,1.0,nan,nan
63,추재현,lotte,좌익수,2,3.0,nan,nan
63,이정훈,lotte,포수,1,1.0,nan,nan
63,이선우,lotte,중견수,2,2.2,nan,nan
63,이호준,lotte,유격수,1,1.0,nan,nan
63,김원중,lotte,투수,35,39.0,nan,nan
