순위,선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
13,김기연,두산,0.266,139,37,5,0,4,17,13,2,23,3,하위(6~9번)
14,김민혁,두산,0.25,4,1,0,0,1,2,2,0,2,0,하위(6~9번)
14,양찬열,두산,0.25,4,1,0,0,0,1,1,0,0,0,하위(6~9번)
16,박계범,두산,0.231,13,3,1,0,0,0,4,0,6,1,하위(6~9번)
17,박준영,두산,0.228,162,37,8,2,5,24,19,2,48,2,하위(6~9번)
18,서예일,두산,0.2,10,2,0,0,0,0,0,0,2,0,하위(6~9번)
18,장승현,두산,0.2,20,4,2,0,0,0,2,0,5,0,하위(6~9번)
20,김태근,두산,0.182,11,2,0,0,0,1,0,1,4,0,하위(6~9번)
21,김인태,두산,0.174,23,4,0,0,1,2,2,0,7,1,하위(6~9번)
22,김대한,두산,0.138,58,8,1,0,1,7,8,1,18,0,하위(6~9번)
23,박민준,두산,0.0,1,0,0,0,0,0,0,0,0,0,하위(6~9번)
23,안승한,두산,0.0,3,0,0,0,0,0,0,0,1,0,하위(6~9번)
23,양의지,두산,0.0,1,0,0,0,0,0,0,0,0,0,하위(6~9번)
23,윤준호,두산,0.0,3,0,0,0,0,1,0,0,1,0,하위(6~9번)
