순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,박준영,doosan,유격수,52,391.2,1.01,10.94
2,강승호,doosan,2루수,85,685.2,0.881,9.54
3,정수빈,doosan,중견수,90,742.1,0.59,6.39
4,김기연,doosan,포수,51,361.2,0.572,6.2
5,조수행,doosan,좌익수,62,453.2,0.471,5.1
6,양의지,doosan,포수,53,436.1,0.465,5.03
7,허경민,doosan,3루수,77,617.2,0.38,4.12
8,이유찬,doosan,3루수,13,98.0,0.28,3.04
9,이유찬,doosan,2루수,28,101.2,0.271,2.94
10,이유찬,doosan,유격수,11,66.0,0.242,2.62
11,김대한,doosan,우익수,27,116.0,0.22,2.39
12,전민재,doosan,3루수,25,94.0,0.116,1.26
13,강승호,doosan,1루수,28,116.2,0.108,1.17
13,양찬열,doosan,우익수,4,7.0,0.108,1.17
15,안승한,doosan,포수,2,9.1,0.04,0.43
16,조수행,doosan,우익수,14,61.0,0.029,0.31
17,장승현,doosan,포수,9,58.0,0.019,0.21
18,서예일,doosan,유격수,3,5.0,0.016,0.18
19,이유찬,doosan,중견수,2,3.0,0.005,0.06
20,김태근,doosan,우익수,9,17.2,0.002,0.03
21,전다민,doosan,우익수,1,3.0,0.0,0.0
22,홍성호,doosan,좌익수,1,2.0,-0.001,-0.01
22,이유찬,doosan,좌익수,1,1.0,-0.001,-0.01
24,홍성호,doosan,1루수,3,5.0,-0.002,-0.03
25,홍성호,doosan,우익수,2,4.0,-0.003,-0.03
26,김태근,doosan,좌익수,6,37.2,-0.013,-0.14
26,전민재,doosan,유격수,39,247.2,-0.013,-0.14
28,이유찬,doosan,우익수,1,6.0,-0.017,-0.19
29,서예일,doosan,3루수,9,34.0,-0.027,-0.29
30,박준영,doosan,3루수,6,16.0,-0.029,-0.31
31,전다민,doosan,좌익수,7,38.2,-0.035,-0.38
32,박민준,doosan,포수,1,1.0,-0.045,-0.49
33,김대한,doosan,중견수,5,10.0,-0.048,-0.52
34,전다민,doosan,중견수,2,3.0,-0.049,-0.54
35,김인태,doosan,우익수,1,6.0,-0.061,-0.66
36,윤준호,doosan,포수,3,9.0,-0.087,-0.95
37,전민재,doosan,2루수,10,63.0,-0.101,-1.09
38,박계범,doosan,2루수,13,24.0,-0.113,-1.22
39,박계범,doosan,유격수,3,19.0,-0.12,-1.3
40,김인태,doosan,좌익수,7,38.0,-0.143,-1.55
41,김태근,doosan,중견수,6,19.0,-0.146,-1.58
42,조수행,doosan,중견수,18,98.0,-0.202,-2.19
43,김대한,doosan,좌익수,19,80.0,-0.248,-2.69
44,박계범,doosan,3루수,10,15.2,-0.288,-3.12
45,김재호,doosan,유격수,25,146.0,-0.489,-5.3
46,양석환,doosan,1루수,88,750.2,-0.589,-6.38
47,김재환,doosan,좌익수,30,224.1,-0.606,-6.57
48,라모스,doosan,우익수,79,654.2,-0.694,-7.52
64,김동주,doosan,투수,13,49.2,nan,nan
64,김민혁,doosan,1루수,1,1.0,nan,nan
64,박계범,doosan,1루수,1,1.0,nan,nan
64,박정수,doosan,투수,26,27.1,nan,nan
64,오명진,doosan,2루수,1,1.0,nan,nan
64,이영하,doosan,투수,42,47.1,nan,nan
64,박치국,doosan,투수,35,30.2,nan,nan
64,전민재,doosan,1루수,1,1.0,nan,nan
64,정철원,doosan,투수,20,19.0,nan,nan
64,이교훈,doosan,투수,19,23.0,nan,nan
64,홍건희,doosan,투수,38,37.0,nan,nan
64,최지강,doosan,투수,45,41.1,nan,nan
64,김명신,doosan,투수,29,27.1,nan,nan
64,김민규,doosan,투수,9,14.1,nan,nan
64,김호준,doosan,투수,15,13.1,nan,nan
