순위,선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
1,박성한,SSG,0.286,28,8,2,0,0,5,6,0,3,0,1번
2,최지훈,SSG,0.269,334,90,16,6,5,35,41,1,53,4,1번
3,박지환,SSG,0.235,34,8,0,0,0,0,2,0,11,1,1번
4,강진성,SSG,0.0,2,0,0,0,0,0,0,0,0,0,1번
4,오태곤,SSG,0.0,1,0,0,0,0,0,1,0,0,0,1번
4,최경모,SSG,0.0,1,0,0,0,0,0,0,0,0,0,1번
4,최민창,SSG,0.0,1,0,0,0,0,0,0,0,1,0,1번
4,하재훈,SSG,0.0,2,0,0,0,0,0,0,0,1,0,1번
1,박지환,SSG,0.400,5,2,0,0,0,1,1,0,0,0,2번
2,에레디아,SSG,0.333,9,3,0,0,1,4,3,0,0,1,2번
2,정준재,SSG,0.333,3,1,0,0,0,0,1,0,1,0,2번
2,최지훈,SSG,0.333,21,7,1,0,1,2,0,0,4,1,2번
2,하재훈,SSG,0.333,6,2,1,0,0,0,0,0,2,0,2번
6,추신수,SSG,0.303,145,44,7,0,3,22,23,3,42,1,2번
7,박성한,SSG,0.302,149,45,10,0,3,17,22,1,21,3,2번
8,최준우,SSG,0.250,4,1,1,0,0,1,1,0,1,0,2번
9,오태곤,SSG,0.235,17,4,1,0,0,0,2,0,6,0,2번
10,김성현,SSG,0.100,10,1,0,0,0,0,1,1,2,0,2번
11,강진성,SSG,-,0,0,0,0,0,0,1,0,0,0,2번
11,고명준,SSG,0.000,1,0,0,0,0,0,0,1,1,0,2번
11,김찬형,SSG,0.000,2,0,0,0,0,0,0,0,2,0,2번
11,김창평,SSG,0.000,1,0,0,0,0,0,0,0,1,0,2번
11,전의산,SSG,0.000,2,0,0,0,0,0,0,0,0,0,2번
11,최경모,SSG,0.000,5,0,0,0,0,0,0,0,2,0,2번
1,김성현,SSG,0.667,3,2,0,0,0,1,2,0,0,0,3번
2,에레디아,SSG,0.407,27,11,0,0,3,12,3,1,5,0,3번
3,박성한,SSG,0.313,16,5,1,0,0,2,2,0,2,0,3번
4,최정,SSG,0.290,297,86,18,1,24,72,38,16,66,8,3번
5,정준재,SSG,0.200,5,1,0,0,0,1,2,0,0,0,3번
6,박지환,SSG,0.167,6,1,0,0,0,1,2,0,2,1,3번
7,김찬형,SSG,0.000,1,0,0,0,0,0,0,0,0,0,3번
7,오태곤,SSG,0.000,2,0,0,0,0,0,1,0,1,0,3번
7,이지영,SSG,0.000,1,0,0,0,0,0,0,0,0,0,3번
7,정현승,SSG,0.000,1,0,0,0,0,0,0,0,0,0,3번
7,최경모,SSG,0.000,2,0,0,0,0,0,2,0,0,1,3번
7,추신수,SSG,0.000,3,0,0,0,0,0,0,1,1,0,3번
