포지션,선수명
투수,이상민
투수,김대우
투수,원태인
투수,이승현
투수,오승환
투수,김윤수
투수,백정현
투수,최지광
투수,레예스
투수,임창민
투수,코너
투수,최채흥
투수,이승현
투수,황동재
투수,김재윤
포수,이병헌
포수,강민호
내야수,안주형
내야수,류지혁
내야수,김영웅
내야수,전병우
내야수,김지찬
내야수,이재현
외야수,이성규
외야수,윤정빈
외야수,김헌곤
외야수,김현준
외야수,구자욱
