순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,장성우,KT,포수,74,542.1,1.003,10.79
2,김상수,KT,유격수,73,555.2,0.811,8.73
3,문상철,KT,1루수,50,378.2,0.608,6.54
4,오윤석,KT,2루수,44,294.0,0.503,5.42
5,신본기,KT,유격수,42,197.1,0.402,4.32
6,로하스,KT,좌익수,64,468.1,0.378,4.07
7,정준영,KT,우익수,25,138.1,0.283,3.05
8,조용호,KT,우익수,45,271.0,0.195,2.1
9,김병준,KT,중견수,16,41.0,0.162,1.75
10,이호연,KT,3루수,10,42.0,0.139,1.49
11,홍현빈,KT,좌익수,8,16.2,0.1,1.08
12,장준원,KT,유격수,11,34.0,0.085,0.91
13,천성호,KT,3루수,3,11.0,0.08,0.86
14,심우준,KT,2루수,1,3.0,0.057,0.62
15,박민석,KT,2루수,2,6.0,0.053,0.58
15,안치영,KT,중견수,14,91.0,0.053,0.57
17,황재균,KT,3루수,88,699.0,0.049,0.53
18,강현우,KT,포수,14,62.0,0.047,0.5
19,김준태,KT,포수,18,57.1,0.045,0.48
20,조대현,KT,포수,8,24.0,0.041,0.44
21,권동진,KT,2루수,3,8.1,0.022,0.23
22,장준원,KT,3루수,4,23.0,0.014,0.15
22,송민섭,KT,중견수,2,5.0,0.014,0.15
24,로하스,KT,우익수,33,230.2,0.013,0.14
25,로하스,KT,중견수,6,27.0,0.009,0.09
26,오윤석,KT,1루수,4,6.0,0.006,0.06
27,안치영,KT,좌익수,3,4.0,0.005,0.06
28,정준영,KT,중견수,2,7.0,0.003,0.03
29,문상철,KT,좌익수,1,2.0,0.001,0.01
30,이호연,KT,1루수,1,2.0,-0.001,-0.01
31,박병호,KT,1루수,32,227.1,-0.01,-0.11
32,윤준혁,KT,3루수,4,11.1,-0.027,-0.29
33,안치영,KT,우익수,13,30.0,-0.035,-0.38
34,박경수,KT,2루수,3,3.1,-0.041,-0.45
35,오윤석,KT,3루수,7,22.0,-0.042,-0.45
36,신본기,KT,3루수,5,9.0,-0.05,-0.54
37,정준영,KT,좌익수,5,12.0,-0.056,-0.6
37,김민혁,KT,우익수,6,18.1,-0.056,-0.6
37,김병준,KT,우익수,4,8.0,-0.056,-0.6
40,김건형,KT,우익수,12,66.0,-0.059,-0.64
41,심우준,KT,유격수,3,18.0,-0.063,-0.67
42,박민석,KT,유격수,4,7.1,-0.084,-0.9
43,김민혁,KT,좌익수,33,217.2,-0.091,-0.97
44,김상수,KT,2루수,2,8.2,-0.101,-1.08
45,안현민,KT,좌익수,8,40.0,-0.141,-1.51
46,홍현빈,KT,중견수,7,22.0,-0.145,-1.56
47,이호연,KT,2루수,7,14.0,-0.149,-1.61
48,강백호,KT,우익수,5,24.0,-0.166,-1.78
49,강백호,KT,포수,20,131.2,-0.167,-1.8
50,김민혁,KT,중견수,14,105.1,-0.193,-2.08
51,신본기,KT,2루수,22,76.2,-0.238,-2.56
52,홍현빈,KT,우익수,14,27.0,-0.262,-2.82
53,조용호,KT,좌익수,11,52.2,-0.452,-4.87
54,배정대,KT,중견수,61,519.0,-0.67,-7.21
55,오재일,KT,1루수,25,202.1,-0.789,-8.49
56,천성호,KT,2루수,55,403.1,-0.927,-9.97
70,이선우,KT,투수,6,10.0,nan,nan
70,성재헌,KT,투수,21,24.2,nan,nan
70,김병준,KT,좌익수,3,4.0,nan,nan
70,김민,KT,투수,42,48.0,nan,nan
70,주권,KT,투수,34,43.2,nan,nan
70,박영현,KT,투수,40,47.1,nan,nan
70,황재균,KT,유격수,4,5.0,nan,nan
70,황재균,KT,1루수,1,1.0,nan,nan
70,강건,KT,투수,4,4.0,nan,nan
70,우규민,KT,투수,23,23.0,nan,nan
70,손동현,KT,투수,29,32.1,nan,nan
70,송민섭,KT,우익수,3,4.0,nan,nan
70,박시영,KT,투수,22,23.1,nan,nan
