포지션,선수명
투수,조병현
투수,서진용
투수,송영진
투수,김광현
투수,앤더슨
투수,한두솔
투수,노경은
투수,문승원
투수,김택형
투수,오원석
투수,엘리아스
투수,장지훈
투수,이로운
포수,김민식
포수,이지영
내야수,최정
내야수,고명준
내야수,박성한
내야수,전의산
내야수,김성현
내야수,박지환
내야수,정준재
외야수,하재훈
외야수,추신수
외야수,최상민
외야수,에레디아
외야수,한유섬
외야수,최지훈
