순위,선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
8,이원석,키움,0.263,19,5,0,0,0,1,3,0,4,0,7번
8,임병욱,키움,0.263,19,5,0,0,0,2,1,0,6,1,7번
10,주성원,키움,0.217,23,5,0,0,0,3,1,0,6,2,7번
11,김재현,키움,0.200,25,5,1,0,0,5,2,0,7,0,7번
11,예진원,키움,0.200,5,1,0,0,0,0,0,0,2,1,7번
13,김웅빈,키움,0.167,6,1,0,0,0,0,1,0,2,0,7번
14,송성문,키움,0.150,20,3,0,0,1,3,3,0,5,1,7번
15,김태진,키움,0.000,8,0,0,0,0,0,0,0,1,0,7번
15,박수종,키움,0.000,2,0,0,0,0,0,1,0,0,0,7번
15,박주홍,키움,0.000,1,0,0,0,0,0,0,0,0,0,7번
15,임지열,키움,0.000,7,0,0,0,0,0,1,0,2,0,7번
15,장재영,키움,0.000,4,0,0,0,0,0,0,0,4,0,7번
15,최주환,키움,-,0,0,0,0,0,0,1,0,0,0,7번
1,고영우,키움,0.5,2,1,0,0,0,1,0,0,1,0,8번
1,이형종,키움,0.5,4,2,0,0,0,0,0,0,0,0,8번
3,김건희,키움,0.292,24,7,0,0,0,5,2,0,9,0,8번
4,임병욱,키움,0.286,14,4,1,0,0,1,0,0,4,0,8번
5,송성문,키움,0.261,23,6,0,0,2,5,2,0,1,0,8번
6,김재현,키움,0.258,124,32,6,0,0,12,5,7,26,5,8번
7,이용규,키움,0.25,4,1,0,0,0,0,0,0,0,0,8번
7,임지열,키움,0.25,4,1,0,0,0,1,4,0,1,1,8번
9,김태진,키움,0.229,35,8,0,0,0,2,2,0,7,0,8번
10,박수종,키움,0.2,5,1,0,0,0,0,1,0,1,0,8번
10,원성준,키움,0.2,5,1,0,0,0,0,0,0,3,0,8번
10,이재상,키움,0.2,30,6,0,0,0,1,0,1,12,0,8번
13,김시앙,키움,0.167,6,1,0,0,0,0,0,0,1,0,8번
14,박성빈,키움,0.125,8,1,0,0,0,0,1,0,2,0,8번
15,김주형,키움,0.0,3,0,0,0,0,0,1,1,2,0,8번
15,박준형,키움,0.0,5,0,0,0,0,0,0,0,3,0,8번
15,변상권,키움,0.0,2,0,0,0,0,0,0,0,2,0,8번
15,예진원,키움,0.0,1,0,0,0,0,0,0,0,0,0,8번
15,이원석,키움,0.0,3,0,0,0,0,0,0,0,2,0,8번
