순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,김인환,한화,0.333,1,2,3,0.67,0,0.67,3.50,0.250,2.9,0.339
2,김태연,한화,0.307,28,61,66,0.92,2,0.60,3.93,0.195,48.3,0.3
3,황영묵,한화,0.306,12,78,52,1.50,4,0.47,3.67,0.086,29.9,0.258
4,이재원,한화,0.299,2,18,25,0.72,0,0.42,3.29,0.026,8.9,0.24
5,페라자,한화,0.297,38,66,63,1.05,3,0.49,3.98,0.246,57.1,0.306
6,안치홍,한화,0.293,23,87,105,0.83,6,0.63,3.90,0.124,53.8,0.269
7,박상언,한화,0.286,3,6,12,0.50,0,0.75,4.02,0.071,7.4,0.28
8,최재훈,한화,0.274,10,48,52,0.92,0,0.76,4.20,0.067,29.2,0.268
9,최인호,한화,0.268,14,58,48,1.21,3,0.77,3.96,0.098,25.6,0.251
10,노시환,한화,0.267,32,80,91,0.88,4,0.39,3.84,0.198,54.9,0.27
11,이도윤,한화,0.266,6,67,64,1.05,5,0.60,3.80,0.036,24.2,0.224
12,이원석,한화,0.255,4,26,24,1.08,0,0.46,3.91,0.051,10.4,0.224
13,문현빈,한화,0.251,14,46,45,1.02,2,0.41,3.77,0.137,19.5,0.241
14,채은성,한화,0.246,24,64,93,0.69,2,0.43,3.71,0.150,34.3,0.24
15,하주석,한화,0.235,4,20,17,1.18,0,0.28,3.49,0.049,6.9,0.207
16,장진혁,한화,0.233,8,34,27,1.26,1,0.41,4.21,0.109,16.1,0.231
17,김강민,한화,0.224,1,14,24,0.58,0,0.38,3.72,0.039,7.3,0.211
18,유로결,한화,0.214,0,5,4,1.25,0,1.00,3.69,0.000,0.5,0.194
19,이상혁,한화,0.200,0,3,0,-,0,0.00,3.00,0.000,0.7,0.14
19,이진영,한화,0.200,4,14,12,1.17,0,0.33,4.27,0.073,4.6,0.204
21,정은원,한화,0.172,5,22,15,1.47,0,0.81,4.37,0.125,7.6,0.215
22,임종찬,한화,0.158,5,12,17,0.71,2,0.32,3.66,0.123,3.1,0.183
23,김서현,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
23,박상원,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
23,이명기,한화,0.000,0,2,2,1.00,0,0.00,3.63,0.000,-0.6,0.0
23,장규현,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
23,주현상,한화,-,0,0,0,-,0,-,-,-,0.0,0.0
