순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,최재훈,hanwha,포수,72,512.0,0.443,4.8
2,이원석,hanwha,중견수,37,193.0,0.37,4.01
3,이도윤,hanwha,유격수,68,493.1,0.356,3.86
4,최인호,hanwha,좌익수,60,383.2,0.318,3.44
5,이재원,hanwha,포수,39,197.1,0.241,2.62
6,김강민,hanwha,중견수,31,153.1,0.206,2.23
7,이진영,hanwha,중견수,19,109.0,0.202,2.19
8,장진혁,hanwha,우익수,14,45.1,0.172,1.86
9,임종찬,hanwha,우익수,13,33.0,0.14,1.51
10,박상언,hanwha,포수,26,113.0,0.134,1.45
11,이원석,hanwha,좌익수,2,11.0,0.087,0.94
12,안치홍,hanwha,2루수,6,45.0,0.085,0.92
13,정은원,hanwha,좌익수,10,70.0,0.067,0.72
14,황영묵,hanwha,2루수,43,311.2,0.065,0.71
15,문현빈,hanwha,3루수,3,20.0,0.055,0.6
16,페라자,hanwha,중견수,1,2.0,0.052,0.56
17,이도윤,hanwha,2루수,19,82.0,0.037,0.4
18,유로결,hanwha,우익수,1,2.0,0.028,0.3
19,장진혁,hanwha,중견수,28,190.0,0.015,0.16
20,정은원,hanwha,중견수,6,46.0,0.004,0.05
21,정은원,hanwha,2루수,4,31.0,-0.002,-0.02
22,문현빈,hanwha,유격수,1,2.0,-0.003,-0.03
23,유로결,hanwha,중견수,2,18.0,-0.01,-0.11
24,이상혁,hanwha,중견수,2,6.0,-0.02,-0.21
25,유로결,hanwha,좌익수,2,11.0,-0.037,-0.4
26,채은성,hanwha,우익수,23,181.0,-0.05,-0.54
26,황영묵,hanwha,유격수,32,201.0,-0.05,-0.54
28,하주석,hanwha,유격수,22,127.0,-0.079,-0.86
29,장진혁,hanwha,좌익수,17,81.0,-0.086,-0.93
30,김인환,hanwha,1루수,1,6.0,-0.088,-0.96
31,하주석,hanwha,3루수,8,52.1,-0.095,-1.03
32,이진영,hanwha,우익수,6,18.0,-0.106,-1.15
33,김인환,hanwha,좌익수,1,4.0,-0.146,-1.59
34,이원석,hanwha,우익수,9,27.0,-0.171,-1.85
35,페라자,hanwha,우익수,38,303.0,-0.186,-2.02
36,김태연,hanwha,2루수,6,30.2,-0.214,-2.32
37,임종찬,hanwha,중견수,16,105.0,-0.24,-2.6
38,노시환,hanwha,3루수,85,747.0,-0.25,-2.71
39,김태연,hanwha,우익수,27,209.0,-0.304,-3.29
40,페라자,hanwha,좌익수,41,259.2,-0.391,-4.23
41,채은성,hanwha,1루수,31,252.0,-0.4,-4.33
42,문현빈,hanwha,2루수,48,323.0,-0.446,-4.83
43,김태연,hanwha,1루수,40,282.1,-0.648,-7.02
44,안치홍,hanwha,1루수,34,283.0,-0.677,-7.34
55,이명기,hanwha,중견수,1,1.0,nan,nan
55,장규현,hanwha,포수,1,1.0,nan,nan
55,이상혁,hanwha,우익수,4,5.0,nan,nan
55,박상원,hanwha,투수,34,32.2,nan,nan
55,이명기,hanwha,좌익수,1,1.0,nan,nan
55,이상혁,hanwha,좌익수,1,2.0,nan,nan
55,주현상,hanwha,투수,38,46.1,nan,nan
55,이도윤,hanwha,3루수,1,1.0,nan,nan
55,김서현,hanwha,투수,12,13.0,nan,nan
55,황영묵,hanwha,3루수,3,3.0,nan,nan
