포지션,선수명
투수,고영표
투수,김민
투수,엄상백
투수,우규민
투수,김민수
투수,쿠에바스
투수,박세진
투수,주권
투수,벤자민
투수,박시영
투수,조이현
투수,박영현
투수,성재헌
포수,장성우
포수,강현우
내야수,황재균
내야수,심우준
내야수,윤준혁
내야수,오재일
내야수,강백호
내야수,권동진
내야수,김상수
외야수,문상철
외야수,배정대
외야수,로하스
외야수,홍현빈
외야수,김민혁
외야수,정준영
